ID	IllustrationType	Language	Cluster	Hand	Quire	Parchment	Illustration + Language
f45r	H	A	HA1	1	F	24	HA
f57r	H	B	HB1	2	H	29	HB
f5v	H	A	HA1	1	A	4	HA
f69r	C	?	C	?	J	32	C?
f70v2	Z	?	Z	?	J	32	Z?
f70v1	Z	?	Z	?	J	32	Z?
f103r	S	B	SB1	X	T	47	SB
f115v	S	B	SB2	?	T	48	SB
f67v1	A	?	A	?	I	31	A?
f67v2	C	?	C	?	I	31	C?
f115r	S	B	SB2	?	T	48	SB
f103v	S	B	SB1	X	T	47	SB
f21v	H	A	HA1	1	C	12	HA
f102v2	P	A	PHA	?	S	45	PA
f33v	H	B	HB1	2	E	17	HB
f102v1	P	A	PHA	?	S	45	PA
f56v	H	A	HA1	1	G	25	HA
f20r	H	A	HA1	1	C	12	HA
f32r	H	A	HA1	1	D	13	HA
f6r	H	A	HA1	1	A	3	HA
f44r	H	A	HA1	1	F	24	HA
f56r	H	A	HA1	1	G	25	HA
f6v	H	A	HA1	1	A	3	HA
f114r	S	B	SB2	?	T	49	SB
f114v	S	B	SB2	?	T	49	SB
f20v	H	A	HA1	1	C	12	HA
f32v	H	A	HA1	1	D	13	HA
f44v	H	A	HA1	1	F	24	HA
